filename,green_pct,action
160822910.jpg,97.93,M
160989574.jpg,96.75,M
161122900.jpg,97.54,M
161289571.jpg,97.32,M
161422908.jpg,98.91,M
161589564.jpg,97.65,M
161756237.jpg,94.57,M
161889567.jpg,94.12,M
162056242.jpg,95.16,M
162189570.jpg,96.52,M
163822924.jpg,98.02,M
163956218.jpg,99.47,M
164089558.jpg,98.31,M
164256234.jpg,99.55,M
164389546.jpg,99.72,M
164522876.jpg,99.75,M
164656251.jpg,99.53,M
164822880.jpg,98.44,M
165022894.jpg,93.15,M
165156211.jpg,86.71,M
165322878.jpg,82.94,M
165456228.jpg,75.75,M
165622868.jpg,77.15,M
165789538.jpg,73.87,M
165922870.jpg,65.15,M
166056228.jpg,65.69,M
166222863.jpg,62.19,M
166356217.jpg,59.6,M
166522879.jpg,55.55,M
166656247.jpg,57.66,M
166789530.jpg,60.19,M
166922866.jpg,69.07,M
167089539.jpg,74.32,M
167222861.jpg,72.08,M
167356187.jpg,73.68,M
167489516.jpg,70.74,M
167656210.jpg,72.11,M
167789519.jpg,75.36,M
167956201.jpg,73.85,M
168089528.jpg,52.25,M
168222852.jpg,50.04,M
168356180.jpg,44.66,M
168522844.jpg,22.02,N
168656178.jpg,4.72,N
168789514.jpg,4.26,N
168922840.jpg,2.73,N
169089538.jpg,3.87,N
169222844.jpg,3.49,N
169356178.jpg,3.63,N
169489504.jpg,3.41,N
169656168.jpg,3.62,N
169789502.jpg,2.95,N
169922831.jpg,3.03,N
170056205.jpg,3.68,N
170189499.jpg,5.08,N
170356188.jpg,8.14,N
170489500.jpg,5.51,N
170622839.jpg,5.11,N
170756163.jpg,3.09,N
170889495.jpg,3.46,N
171022828.jpg,3.46,N
171422843.jpg,3.11,N
171889492.jpg,2.91,N
172056189.jpg,2.51,N
172356152.jpg,2.79,N
172489479.jpg,2.48,N
172622830.jpg,3.42,N
172756143.jpg,3.05,N
172889481.jpg,3.73,N
173022814.jpg,4.78,N
173189478.jpg,5.57,N
173389476.jpg,6.71,N
173556138.jpg,9.42,N
173722822.jpg,5.33,N
173922799.jpg,1.3,N
174056138.jpg,1.62,N
174189503.jpg,1.74,N
174322845.jpg,2.79,N
174456180.jpg,1.63,N
174956190.jpg,3.77,N
175456552.jpg,2.29,N
175723215.jpg,6.5,N
176256104.jpg,11.28,N
176389442.jpg,10.9,N
176556127.jpg,11.62,N
176689481.jpg,12.61,N
176822796.jpg,10.76,N
176956113.jpg,12.03,N
177122791.jpg,10.65,N
177256107.jpg,9.01,N
177389442.jpg,8.66,N
177556139.jpg,10.13,N
177689473.jpg,10.48,N
177822783.jpg,9.74,N
177989498.jpg,12.47,N
178122769.jpg,15.91,N
178289444.jpg,16.21,N
178422769.jpg,18.3,N
178556104.jpg,24.54,N
178722764.jpg,29.42,N
178856096.jpg,34.67,N
179022783.jpg,33.19,M
179156092.jpg,41.58,M
179289428.jpg,38.04,M
179456093.jpg,42.47,M
179589484.jpg,52.89,M
179756103.jpg,55.6,M
179889425.jpg,60.27,M
180056087.jpg,65.48,M
180189454.jpg,72.69,M
180322760.jpg,74.15,M
180489422.jpg,69.68,M
180622745.jpg,63.8,M
180756087.jpg,65.81,M
180922750.jpg,73.94,M
181056077.jpg,68.91,M
181222744.jpg,73.83,M
181356081.jpg,70.15,M
181522741.jpg,55.37,M
181656078.jpg,55.91,M
181789404.jpg,64.35,M
181956184.jpg,72.3,M
182089428.jpg,76.43,M
182222733.jpg,71.89,M
182389416.jpg,74.78,M
182522743.jpg,80.33,M
182689413.jpg,72.69,M
182822733.jpg,73.52,M
182989493.jpg,83.78,M
183122750.jpg,76.42,M
183289399.jpg,77.62,M
183422736.jpg,84.05,M
183556062.jpg,93.3,M
183722739.jpg,91.62,M
183856064.jpg,89.8,M
183989403.jpg,84.45,M
184122734.jpg,80.97,M
184256052.jpg,83.06,M
184422720.jpg,79.59,M
184556125.jpg,74.89,M
184689436.jpg,71.2,M
184822718.jpg,69.92,M
185022733.jpg,79.49,M
185189389.jpg,81.47,M
185322720.jpg,86.3,M
185489387.jpg,85.0,M
185622714.jpg,83.45,M
185789372.jpg,83.39,M
185922711.jpg,87.11,M
186056042.jpg,92.39,M
186189375.jpg,97.07,M
186322713.jpg,97.44,M
186489386.jpg,98.46,M
186622715.jpg,98.06,M
186756049.jpg,97.34,M
186889361.jpg,98.39,M
189156015.jpg,80.43,M
189289349.jpg,80.56,M
189422682.jpg,80.76,M
189589369.jpg,86.95,M
189789340.jpg,91.79,M
189922683.jpg,92.66,M
190056018.jpg,93.25,M
190189339.jpg,94.45,M
190322678.jpg,92.07,M
190489352.jpg,86.44,M
191655992.jpg,92.73,M
191789328.jpg,90.57,M
191955997.jpg,94.21,M
192089325.jpg,95.67,M
192255989.jpg,95.41,M
192389337.jpg,96.59,M
192555992.jpg,97.27,M
192689325.jpg,98.01,M
192855998.jpg,98.71,M
192989320.jpg,98.75,M
193155983.jpg,99.68,M
193289326.jpg,99.79,M
193455980.jpg,99.24,M
193589311.jpg,99.23,M
193722689.jpg,98.9,M
193889313.jpg,98.92,M
194055976.jpg,98.58,M
194189307.jpg,98.66,M
194355977.jpg,99.15,M
194489310.jpg,98.5,M
194655973.jpg,98.5,M
194789301.jpg,97.7,M
194956037.jpg,96.75,M
195089302.jpg,96.3,M
195255969.jpg,96.43,M
195389299.jpg,94.76,M
195555964.jpg,93.35,M
195689295.jpg,90.92,M
195855979.jpg,95.78,M
195989294.jpg,96.14,M
196155957.jpg,97.5,M
196289295.jpg,96.4,M
196455982.jpg,87.28,M
196589294.jpg,86.84,M
196722659.jpg,92.9,M
196889290.jpg,93.3,M
197022628.jpg,92.78,M
197155954.jpg,91.03,M
197322615.jpg,88.32,M
197455947.jpg,85.69,M
197622625.jpg,89.78,M
197755958.jpg,79.54,M
197922619.jpg,77.25,M
198055947.jpg,80.45,M
198222614.jpg,89.41,M
198355945.jpg,89.57,M
198522615.jpg,88.08,M
198655944.jpg,87.24,M
198822602.jpg,90.65,M
198955944.jpg,92.61,M
199122625.jpg,90.14,M
199255937.jpg,71.06,M
199422607.jpg,51.14,M
199555932.jpg,45.51,M
199722641.jpg,52.04,M
199855940.jpg,56.02,M
200022609.jpg,62.09,M
200155993.jpg,63.3,M
200322594.jpg,59.41,M
200455929.jpg,62.4,M
200622620.jpg,50.63,M
200755965.jpg,43.41,M
200922593.jpg,45.79,M
201055922.jpg,50.84,M
201222586.jpg,59.95,M
201355920.jpg,72.33,M
201522595.jpg,83.87,M
201655929.jpg,85.02,M
201789249.jpg,84.98,M
201955918.jpg,78.16,M
202122627.jpg,83.25,M
202255911.jpg,87.38,M
202389252.jpg,87.47,M
202555927.jpg,85.56,M
202689240.jpg,85.74,M
202855912.jpg,91.39,M
203089236.jpg,90.88,M
203222574.jpg,89.98,M
203389241.jpg,88.45,M
203555928.jpg,89.43,M
203689230.jpg,90.32,M
203855931.jpg,91.27,M
203989230.jpg,92.76,M
204155922.jpg,93.59,M
204289233.jpg,94.0,M
204455893.jpg,92.82,M
204589227.jpg,91.99,M
204755893.jpg,91.3,M
204922557.jpg,91.96,M
205122603.jpg,92.17,M
205289495.jpg,89.15,M
205455905.jpg,90.84,M
205589230.jpg,93.32,M
205755889.jpg,95.14,M
205889224.jpg,95.09,M
206055879.jpg,92.09,M
206189210.jpg,91.92,M
206355882.jpg,92.43,M
206489212.jpg,91.31,M
206656336.jpg,89.48,M
206789220.jpg,89.36,M
206955874.jpg,90.63,M
207089213.jpg,92.6,M
207255880.jpg,88.24,M
207389205.jpg,88.94,M
207555868.jpg,88.61,M
207722537.jpg,87.89,M
207855865.jpg,84.63,M
208022561.jpg,82.08,M
208155868.jpg,81.94,M
208655921.jpg,96.74,M
208789568.jpg,95.36,M
208955863.jpg,95.19,M
209122550.jpg,96.49,M
209255904.jpg,94.88,M
209422530.jpg,92.92,M
209589197.jpg,91.95,M
209722517.jpg,86.22,M
209889191.jpg,90.0,M
210022580.jpg,96.88,M
210189180.jpg,96.3,M
210322517.jpg,92.3,M
210489195.jpg,96.56,M
211689165.jpg,85.44,M
211822505.jpg,85.27,M
211989170.jpg,93.76,M
212122505.jpg,93.82,M
212289166.jpg,89.47,M
212422505.jpg,91.11,M
212589166.jpg,83.36,M
212722493.jpg,82.45,M
212889169.jpg,80.99,M
213022494.jpg,73.72,M
213155906.jpg,66.11,M
213322524.jpg,65.45,M
213455824.jpg,68.9,M
213589155.jpg,62.29,M
213755855.jpg,52.64,M
213889160.jpg,53.71,M
214055819.jpg,54.59,M
214189150.jpg,49.02,M
214355813.jpg,50.84,M
214489150.jpg,59.31,M
214655817.jpg,62.64,M
214789149.jpg,54.89,M
214955880.jpg,48.23,M
215089145.jpg,41.8,M
215255852.jpg,23.4,N
215389146.jpg,13.61,N
215522478.jpg,10.58,N
215689167.jpg,6.97,N
215822474.jpg,7.98,N
215955804.jpg,7.94,N
216122469.jpg,7.24,N
216255843.jpg,6.67,N
216422475.jpg,3.56,N
216555814.jpg,3.07,N
216722483.jpg,1.89,N
216922466.jpg,2.84,N
217055970.jpg,2.71,N
217189137.jpg,3.53,N
217355793.jpg,4.59,N
217489130.jpg,4.76,N
217655814.jpg,5.04,N
217789121.jpg,5.62,N
217922466.jpg,4.1,N
218055831.jpg,1.72,N
218222447.jpg,2.55,N
218355815.jpg,2.31,N
218489118.jpg,1.82,N
218622453.jpg,2.58,N
218789128.jpg,1.81,N
218955786.jpg,2.35,N
219089113.jpg,2.24,N
219222443.jpg,1.35,N
219355779.jpg,1.26,N
219489106.jpg,2.19,N
219622439.jpg,8.73,N
219755844.jpg,14.1,N
219889118.jpg,15.04,N
220089100.jpg,20.8,N
220189113.jpg,21.91,N
220322439.jpg,27.59,N
220489104.jpg,46.82,M
220622433.jpg,53.98,M
220755763.jpg,67.49,M
220889095.jpg,75.47,M
221055778.jpg,88.75,M
221189112.jpg,92.92,M
221322431.jpg,88.78,M
221455761.jpg,70.99,M
221889087.jpg,87.13,M
222022424.jpg,91.84,M
222155802.jpg,91.03,M
222289084.jpg,77.8,M
222455751.jpg,70.39,M
222589086.jpg,75.04,M
222755748.jpg,74.0,M
222889098.jpg,82.35,M
223022416.jpg,89.1,M
223189086.jpg,90.97,M
223355764.jpg,92.15,M
223489097.jpg,91.21,M
223622412.jpg,93.57,M
223789085.jpg,92.02,M
223922416.jpg,93.41,M
224089095.jpg,96.52,M
224222404.jpg,94.83,M
224389093.jpg,93.61,M
224722618.jpg,93.77,M
225255820.jpg,93.79,M
225789079.jpg,91.57,M
225989056.jpg,90.83,M
226122388.jpg,87.99,M
226522388.jpg,83.65,M
227055796.jpg,95.3,M
227589356.jpg,55.05,M
228089344.jpg,32.77,N
228622545.jpg,13.25,N
228789034.jpg,16.65,N
228955702.jpg,15.61,N
229089036.jpg,15.58,N
229222364.jpg,15.69,N
229389056.jpg,16.47,N
229522364.jpg,16.27,N
229655697.jpg,14.96,N
229789061.jpg,14.96,N
229955691.jpg,12.58,N
230155718.jpg,11.16,N
230289061.jpg,8.38,N
230455696.jpg,8.2,N
230622663.jpg,5.25,N
230789062.jpg,58.43,M
230922354.jpg,69.77,M
231055679.jpg,91.31,M
231189015.jpg,85.31,M
231356167.jpg,97.35,M
231489011.jpg,98.03,M
231622379.jpg,99.97,M
231755682.jpg,99.78,M
231922351.jpg,99.08,M
232055707.jpg,96.84,M
232189009.jpg,91.49,M
232322339.jpg,87.22,M
232455679.jpg,83.22,M
232589002.jpg,82.4,M
232722340.jpg,88.25,M
232855671.jpg,93.13,M
232989005.jpg,97.95,M
233122331.jpg,97.89,M
233255680.jpg,97.37,M
233389130.jpg,93.93,M
233555869.jpg,91.37,M
233689014.jpg,93.13,M
233855660.jpg,94.43,M
233989003.jpg,93.41,M
234122326.jpg,93.91,M
234255686.jpg,94.5,M
234422333.jpg,94.0,M
234555654.jpg,94.59,M
234689005.jpg,94.74,M
234822321.jpg,95.3,M
234988986.jpg,95.49,M
235122313.jpg,96.66,M
235255687.jpg,95.62,M
235388986.jpg,94.7,M
235555646.jpg,94.65,M
235689023.jpg,93.14,M
235822314.jpg,93.35,M
235955659.jpg,93.86,M
236122316.jpg,94.12,M
236255643.jpg,92.23,M
270522058.jpg,69.67,M
270688709.jpg,55.3,M
271188948.jpg,75.13,M
271722137.jpg,83.07,M
271888693.jpg,87.16,M
272055360.jpg,83.95,M
272188700.jpg,85.1,M
272355371.jpg,84.94,M
272488692.jpg,81.45,M
272655382.jpg,83.61,M
272788714.jpg,83.35,M
272955365.jpg,74.24,M
273088690.jpg,62.1,M
273255359.jpg,53.87,M
273388680.jpg,66.02,M
273522022.jpg,81.01,M
273688683.jpg,52.9,M
273822011.jpg,36.57,M
273955341.jpg,47.47,M
274122006.jpg,57.5,M
274255380.jpg,44.86,M
274422016.jpg,13.26,N
274555344.jpg,8.72,N
274688673.jpg,8.91,N
274822107.jpg,10.24,N
274988672.jpg,5.66,N
275122000.jpg,5.88,N
275255372.jpg,5.89,N
275388667.jpg,5.51,N
275555345.jpg,4.67,N
275688666.jpg,4.71,N
275855325.jpg,5.67,N
275988673.jpg,6.62,N
276122004.jpg,5.4,N
276255369.jpg,6.38,N
276421991.jpg,7.66,N
79690227.jpg,95.5,M
79856887.jpg,95.84,M
79990213.jpg,95.8,M
80156882.jpg,96.05,M
80290235.jpg,96.25,M
80456877.jpg,96.27,M
80590215.jpg,97.28,M
80756880.jpg,96.39,M
80890267.jpg,94.09,M
81056877.jpg,94.03,M
81190207.jpg,93.76,M
81356873.jpg,94.11,M
81490199.jpg,94.2,M
81656876.jpg,92.91,M
81823530.jpg,93.2,M
81990202.jpg,92.74,M
82123536.jpg,91.38,M
82290259.jpg,95.51,M
82423559.jpg,96.13,M
82590200.jpg,92.09,M
82723530.jpg,93.39,M
82890229.jpg,91.87,M
83023526.jpg,89.23,M
83190193.jpg,90.26,M
83356857.jpg,92.22,M
88190148.jpg,97.23,M
88356861.jpg,97.06,M
88490194.jpg,96.5,M
88623488.jpg,96.32,M
89156873.jpg,95.81,M
89323473.jpg,94.48,M
89490156.jpg,94.23,M
89623467.jpg,94.06,M
89756806.jpg,93.56,M
89890141.jpg,93.95,M
90423552.jpg,91.03,M
90957624.jpg,92.25,M
91123460.jpg,93.18,M
91256798.jpg,93.23,M
91390128.jpg,93.16,M
91556789.jpg,94.44,M
91690140.jpg,94.81,M
91856785.jpg,94.38,M
91990120.jpg,95.93,M
92156787.jpg,96.44,M
92290274.jpg,96.74,M
92456799.jpg,97.35,M
97656750.jpg,48.93,M
97790076.jpg,45.61,M
97923411.jpg,44.39,M
98090081.jpg,46.53,M
98223398.jpg,43.42,M
98423403.jpg,45.27,M
98556723.jpg,46.5,M
99023393.jpg,55.56,M
